FIRSTNAME,LastName,Email,ZipCode,Date of Birth,Invited,RSVP,Cancelled,Attended,GuestOfEmail,Opt-In
j,mcguigan+B401.78,jmcguigan+B401.78@emergepartners.com,25485,5/5/1986,1,1,1,0,,0
j,mcguigan+B401.09,jmcguigan+B401.09@emergepartners.com,89349,5/1/1976,1,0,1,1,,1
j,mcguigan+B401.64,jmcguigan+B401.64@emergepartners.com,23451,1/30/1978,1,0,1,1,,0
j,mcguigan+B401.14,jmcguigan+B401.14@emergepartners.com,93471,9/2/1982,1,0,0,1,,0
j,mcguigan+B401.83,jmcguigan+B401.83@emergepartners.com,81366,4/10/1970,1,0,0,1,,1
j,mcguigan+B401.98,jmcguigan+B401.98@emergepartners.com,33308,5/3/1982,0,0,1,0,,1
j,mcguigan+B401.38,jmcguigan+B401.38@emergepartners.com,77040,12/20/1980,1,0,0,1,,1
j,mcguigan+B401.61,jmcguigan+B401.61@emergepartners.com,51144,6/16/1979,1,0,1,1,,1
j,mcguigan+B401.91,jmcguigan+B401.91@emergepartners.com,51230,1/6/1987,0,1,1,1,,1
j,mcguigan+B401.15,jmcguigan+B401.15@emergepartners.com,67624,7/19/1977,0,0,1,0,,1
j,mcguigan+B401.23,jmcguigan+B401.23@emergepartners.com,18121,10/7/1972,1,0,0,1,,0
j,mcguigan+B401.19,jmcguigan+B401.19@emergepartners.com,69098,2/12/1984,0,0,1,0,,0
j,mcguigan+B401.18,jmcguigan+B40.18@emergepartners.com,37780,7/11/1971,0,0,0,1,,1
j,mcguigan+B40.97,jmcguigan+B40.97@emergepartners.com,84094,7/25/1970,0,1,1,0,,1
j,mcguigan+B40.94,jmcguigan+B40.94@emergepartners.com,72107,10/24/1980,0,0,0,0,,0
j,mcguigan+B40.49,jmcguigan+B40.49@emergepartners.com,33001,12/25/1979,1,0,0,1,,0
j,mcguigan+B40.77,jmcguigan+B40.77@emergepartners.com,54377,6/21/1976,1,0,0,1,,1
j,mcguigan+B40.08,jmcguigan+B40.08@emergepartners.com,37911,3/30/1983,1,0,1,0,,0
j,mcguigan+B40.76,jmcguigan+B40.76@emergepartners.com,46266,2/18/1973,0,0,0,1,,1
j,mcguigan+B40.02,jmcguigan+B40.02@emergepartners.com,60037,11/5/1977,0,1,1,0,,0
j,mcguigan+B40.66,jmcguigan+B40.66@emergepartners.com,29853,3/24/1979,0,1,1,0,,0
j,mcguigan+B40.85,jmcguigan+B40.85@emergepartners.com,60729,10/16/1975,0,0,1,0,,1
j,mcguigan+B40.25,jmcguigan+B40.25@emergepartners.com,47361,9/15/1976,1,1,1,1,,1
j,mcguigan+B40.8,jmcguigan+B40.8@emergepartners.com,18776,10/18/1988,1,1,0,1,,1
j,mcguigan+B40.26,jmcguigan+B40.26@emergepartners.com,14839,3/11/1982,0,0,0,1,,1
j,mcguigan+B40.77,jmcguigan+B40.77@emergepartners.com,74980,1/11/1986,0,1,1,0,,0
j,mcguigan+B40.09,jmcguigan+B40.09@emergepartners.com,85441,9/14/1980,1,0,0,1,,0
j,mcguigan+B40.21,jmcguigan+B40.21@emergepartners.com,36230,1/12/1984,1,1,1,0,,0
j,mcguigan+B40.87,jmcguigan+B40.87@emergepartners.com,37867,12/9/1983,1,0,1,1,,1
j,mcguigan+B40.47,jmcguigan+B40.47@emergepartners.com,18756,12/5/1985,1,0,1,1,,0
j,mcguigan+B40.98,jmcguigan+B40.98@emergepartners.com,33593,1/23/1979,0,1,1,0,,1
j,mcguigan+B40.51,jmcguigan+B40.51@emergepartners.com,88557,8/19/1983,0,1,0,1,,1
j,mcguigan+B40.92,jmcguigan+B40.92@emergepartners.com,31510,7/28/1988,1,1,1,0,,1
j,mcguigan+B40.45,jmcguigan+B40.45@emergepartners.com,98139,10/26/1981,1,0,1,1,,0
j,mcguigan+B40.06,jmcguigan+B40.06@emergepartners.com,66849,6/3/1972,1,1,1,0,,0
j,mcguigan+B40.9,jmcguigan+B40.9@emergepartners.com,44039,3/11/1986,1,1,0,0,,0
j,mcguigan+B40.74,jmcguigan+B40.74@emergepartners.com,68591,9/9/1971,0,0,1,0,,1
j,mcguigan+B40.67,jmcguigan+B40.67@emergepartners.com,67709,4/7/1972,1,1,1,1,,0
j,mcguigan+B40.33,jmcguigan+B40.33@emergepartners.com,88107,9/10/1981,0,0,0,0,,1
j,mcguigan+B40.38,jmcguigan+B40.38@emergepartners.com,26327,1/21/1977,1,1,1,0,,0
j,mcguigan+B40.6,jmcguigan+B40.6@emergepartners.com,23246,7/25/1986,1,0,1,0,,1
j,mcguigan+B40.93,jmcguigan+B40.93@emergepartners.com,79054,8/29/1980,0,1,0,0,,1
j,mcguigan+B40.39,jmcguigan+B40.39@emergepartners.com,57854,3/24/1988,0,1,1,1,,1
j,mcguigan+B40.21,jmcguigan+B40.21@emergepartners.com,60397,4/27/1985,1,0,1,1,,0
j,mcguigan+B40.95,jmcguigan+B40.95@emergepartners.com,47481,10/2/1971,1,1,1,0,,0
j,mcguigan+B40.77,jmcguigan+B40.77@emergepartners.com,44934,4/3/1985,1,1,1,0,,0
j,mcguigan+B40.26,jmcguigan+B40.26@emergepartners.com,77264,4/11/1984,0,0,0,0,,1
j,mcguigan+B40.86,jmcguigan+B40.86@emergepartners.com,31815,9/16/1986,1,1,0,0,,0
j,mcguigan+B40.3,jmcguigan+B40.3@emergepartners.com,92640,4/25/1983,1,1,1,0,,0
j,mcguigan+B40.72,jmcguigan+B40.72@emergepartners.com,67135,11/7/1987,1,1,0,1,,1
j,mcguigan+B40.35,jmcguigan+B40.35@emergepartners.com,83924,10/23/1982,0,1,1,0,,1
j,mcguigan+B40.53,jmcguigan+B40.53@emergepartners.com,98717,11/12/1977,1,0,1,0,,0
j,mcguigan+B40.6,jmcguigan+B40.6@emergepartners.com,47005,5/19/1970,0,1,1,0,,1
j,mcguigan+B40.74,jmcguigan+B40.74@emergepartners.com,58119,7/24/1975,1,0,0,1,,1
j,mcguigan+B40.89,jmcguigan+B40.89@emergepartners.com,22340,5/14/1984,1,0,1,0,,0
j,mcguigan+B40.57,jmcguigan+B40.57@emergepartners.com,55344,3/24/1977,0,1,1,1,,0
j,mcguigan+B40.77,jmcguigan+B40.77@emergepartners.com,79721,2/1/1984,1,1,0,0,,1
j,mcguigan+B40.55,jmcguigan+B40.55@emergepartners.com,25652,11/1/1988,0,0,1,0,,0
j,mcguigan+B40.66,jmcguigan+B40.66@emergepartners.com,13127,12/5/1980,0,0,0,0,,1
j,mcguigan+B40.06,jmcguigan+B40.06@emergepartners.com,21678,10/24/1971,1,0,1,0,,1
j,mcguigan+B40.9,jmcguigan+B40.9@emergepartners.com,84250,11/26/1987,1,1,0,0,,0
j,mcguigan+B40.04,jmcguigan+B40.04@emergepartners.com,94954,12/1/1987,1,1,0,0,,0
j,mcguigan+B40.37,jmcguigan+B40.37@emergepartners.com,72797,2/7/1986,0,1,0,1,,0
j,mcguigan+B40.39,jmcguigan+B40.39@emergepartners.com,22230,7/28/1987,0,1,0,1,,1
j,mcguigan+B40.67,jmcguigan+B40.67@emergepartners.com,92466,7/28/1972,0,1,0,0,,1
j,mcguigan+B40.43,jmcguigan+B40.43@emergepartners.com,23562,6/16/1973,0,1,1,0,,1
j,mcguigan+B40.02,jmcguigan+B40.02@emergepartners.com,71497,2/15/1973,0,1,1,1,,0
j,mcguigan+B40.21,jmcguigan+B40.21@emergepartners.com,34176,5/24/1974,0,1,0,0,,1
j,mcguigan+B40.56,jmcguigan+B40.56@emergepartners.com,81789,12/29/1977,0,1,1,1,,0
j,mcguigan+B40.08,jmcguigan+B40.08@emergepartners.com,31668,2/6/1972,0,1,1,0,,1
j,mcguigan+B40.57,jmcguigan+B40.57@emergepartners.com,53331,5/6/1978,1,1,0,0,,0
j,mcguigan+B40.79,jmcguigan+B40.79@emergepartners.com,98076,3/9/1976,1,0,1,0,,0
j,mcguigan+B40.13,jmcguigan+B40.13@emergepartners.com,85983,1/31/1975,1,0,1,1,,0
j,mcguigan+B40.08,jmcguigan+B40.08@emergepartners.com,52656,10/5/1976,1,0,1,1,,1
j,mcguigan+B40.26,jmcguigan+B40.26@emergepartners.com,90710,10/29/1971,0,1,1,1,,0
j,mcguigan+B40.8,jmcguigan+B40.8@emergepartners.com,33077,9/6/1978,1,1,1,0,,1
j,mcguigan+B40.85,jmcguigan+B40.85@emergepartners.com,70557,12/4/1979,1,1,0,0,,1
j,mcguigan+B40.73,jmcguigan+B40.73@emergepartners.com,71691,9/22/1974,1,0,0,0,,1
j,mcguigan+B40.76,jmcguigan+B40.76@emergepartners.com,63287,12/11/1973,0,0,1,1,,1
j,mcguigan+B40.73,jmcguigan+B40.73@emergepartners.com,20178,4/15/1986,0,1,1,1,,1
j,mcguigan+B40.73,jmcguigan+B40.73@emergepartners.com,73426,5/21/1976,1,0,0,1,,0
j,mcguigan+B40.12,jmcguigan+B40.12@emergepartners.com,55332,1/19/1980,1,0,0,0,,0
j,mcguigan+B40.35,jmcguigan+B40.35@emergepartners.com,61166,12/28/1971,0,1,1,0,,0
j,mcguigan+B40.09,jmcguigan+B40.09@emergepartners.com,20652,1/31/1981,1,0,0,0,,1
j,mcguigan+B40.58,jmcguigan+B40.58@emergepartners.com,28547,8/13/1974,1,1,1,0,,1
j,mcguigan+B40,jmcguigan+B40@emergepartners.com,73244,4/13/1984,1,0,0,0,,1
j,mcguigan+B40.59,jmcguigan+B40.59@emergepartners.com,64110,5/8/1978,0,0,0,1,,0
j,mcguigan+B40.92,jmcguigan+B40.92@emergepartners.com,78207,3/1/1981,1,0,1,1,,1
j,mcguigan+B40.84,jmcguigan+B40.84@emergepartners.com,40413,4/19/1982,1,0,0,1,,1
j,mcguigan+B40.95,jmcguigan+B40.95@emergepartners.com,67574,6/9/1980,1,1,1,1,,0
j,mcguigan+B40.87,jmcguigan+B40.87@emergepartners.com,75857,1/8/1986,1,1,0,1,,0
j,mcguigan+B40.44,jmcguigan+B40.44@emergepartners.com,55445,9/9/1974,1,1,0,0,,1
j,mcguigan+B40.55,jmcguigan+B40.55@emergepartners.com,69956,8/11/1988,1,0,0,0,,1
j,mcguigan+B40.45,jmcguigan+B40.45@emergepartners.com,55622,1/30/1976,1,1,0,1,,1
j,mcguigan+B40.64,jmcguigan+B40.64@emergepartners.com,82648,11/30/1978,0,0,0,1,,1
j,mcguigan+B40.63,jmcguigan+B40.63@emergepartners.com,76878,11/11/1976,1,0,1,0,,0
j,mcguigan+B40.89,jmcguigan+B40.89@emergepartners.com,31116,12/1/1981,0,1,1,0,,1
j,mcguigan+B40.83,jmcguigan+B40.83@emergepartners.com,38874,7/28/1971,0,1,0,0,,0
j,mcguigan+B40.8,jmcguigan+B40.8@emergepartners.com,29397,5/25/1980,1,1,1,0,,0
j,mcguigan+B40.15,jmcguigan+B40.15@emergepartners.com,49595,3/28/1979,0,1,1,1,,1
j,mcguigan+B40.09,jmcguigan+B40.09@emergepartners.com,31816,12/22/1979,1,0,0,0,,1
j,mcguigan+B40.98,jmcguigan+B40.98@emergepartners.com,24843,10/30/1974,0,0,1,1,,1
j,mcguigan+B40.96,jmcguigan+B40.96@emergepartners.com,97210,5/29/1972,0,0,0,1,,0
j,mcguigan+B40.99,jmcguigan+B40.99@emergepartners.com,11111,8/18/1979,1,1,1,1,,0
j,mcguigan+B40.4,jmcguigan+B40.4@emergepartners.com,59968,10/5/1978,1,1,1,0,,0
j,mcguigan+B40.97,jmcguigan+B40.97@emergepartners.com,37002,11/26/1988,1,0,1,1,,1
j,mcguigan+B41,jmcguigan+B41@emergepartners.com,60952,1/19/1983,1,0,1,1,,0
j,mcguigan+B40.1,jmcguigan+B40.1@emergepartners.com,16975,6/8/1981,1,1,0,1,,1
j,mcguigan+B40.17,jmcguigan+B40.17@emergepartners.com,70968,4/1/1972,0,1,1,0,,1
j,mcguigan+B40.33,jmcguigan+B40.33@emergepartners.com,60039,1/10/1971,1,0,1,0,,0
j,mcguigan+B40.35,jmcguigan+B40.35@emergepartners.com,60704,1/19/1970,0,0,1,0,,0
j,mcguigan+B40.51,jmcguigan+B40.51@emergepartners.com,80851,2/11/1987,0,0,0,0,,1
j,mcguigan+B40.59,jmcguigan+B40.59@emergepartners.com,25537,7/14/1988,1,0,0,1,,0
j,mcguigan+B40.49,jmcguigan+B40.49@emergepartners.com,56318,11/20/1987,0,0,0,0,,1
j,mcguigan+B40.46,jmcguigan+B40.46@emergepartners.com,75340,11/16/1983,0,1,0,0,,1
j,mcguigan+B40.39,jmcguigan+B40.39@emergepartners.com,92387,3/9/1976,0,0,1,1,,0
j,mcguigan+B40.79,jmcguigan+B40.79@emergepartners.com,41084,10/26/1977,1,1,0,1,,0
j,mcguigan+B40.58,jmcguigan+B40.58@emergepartners.com,89846,6/16/1973,0,0,0,0,,0
j,mcguigan+B40.58,jmcguigan+B40.58@emergepartners.com,83162,9/29/1986,1,1,1,1,,1
j,mcguigan+B40.7,jmcguigan+B40.7@emergepartners.com,74030,11/15/1982,1,0,0,1,,0
j,mcguigan+B40.93,jmcguigan+B40.93@emergepartners.com,34267,2/5/1986,1,1,0,1,,1
j,mcguigan+B40.66,jmcguigan+B40.66@emergepartners.com,81149,6/19/1984,1,0,1,0,,1
j,mcguigan+B40.63,jmcguigan+B40.63@emergepartners.com,72118,7/6/1976,1,0,1,1,,1
j,mcguigan+B40.18,jmcguigan+B40.18@emergepartners.com,28288,7/22/1971,0,0,0,0,,1
j,mcguigan+B40.89,jmcguigan+B40.89@emergepartners.com,27803,6/29/1982,0,0,1,0,,1
j,mcguigan+B40.1,jmcguigan+B40.1@emergepartners.com,74528,2/16/1972,1,0,1,0,,0
j,mcguigan+B40.41,jmcguigan+B40.41@emergepartners.com,39060,3/4/1980,0,0,1,1,,1
j,mcguigan+B40.48,jmcguigan+B40.48@emergepartners.com,83266,11/12/1979,1,1,0,0,,0
j,mcguigan+B40.04,jmcguigan+B40.04@emergepartners.com,18095,3/14/1985,0,1,0,1,,1
j,mcguigan+B40.06,jmcguigan+B40.06@emergepartners.com,82412,9/24/1986,1,0,1,0,,0
j,mcguigan+B40.09,jmcguigan+B40.09@emergepartners.com,65384,6/25/1979,1,1,0,0,,1
j,mcguigan+B40.3,jmcguigan+B40.3@emergepartners.com,75277,12/1/1981,1,1,1,0,,1
j,mcguigan+B40.73,jmcguigan+B40.73@emergepartners.com,20772,6/26/1973,1,0,1,0,,1
j,mcguigan+B40.61,jmcguigan+B40.61@emergepartners.com,77320,11/26/1983,1,1,1,0,,0
j,mcguigan+B40.22,jmcguigan+B40.22@emergepartners.com,71208,3/10/1982,1,0,1,1,,0
j,mcguigan+B40.59,jmcguigan+B40.59@emergepartners.com,40751,10/18/1970,1,0,1,0,,1
j,mcguigan+B40.33,jmcguigan+B40.33@emergepartners.com,74586,9/22/1980,0,0,1,1,,0
j,mcguigan+B40.46,jmcguigan+B40.46@emergepartners.com,31512,6/21/1977,0,1,0,0,,0
j,mcguigan+B40.96,jmcguigan+B40.96@emergepartners.com,34665,12/28/1978,0,0,0,0,,1
j,mcguigan+B40.12,jmcguigan+B40.12@emergepartners.com,17352,8/1/1985,1,1,0,0,,0
j,mcguigan+B40.68,jmcguigan+B40.68@emergepartners.com,96709,5/16/1971,1,1,1,1,,1
j,mcguigan+B40.99,jmcguigan+B40.99@emergepartners.com,54791,11/20/1970,0,1,0,0,,0
j,mcguigan+B40.62,jmcguigan+B40.62@emergepartners.com,63085,1/27/1976,1,0,0,1,,1
j,mcguigan+B40.01,jmcguigan+B40.01@emergepartners.com,48961,3/14/1981,1,0,1,1,,1
j,mcguigan+B40.58,jmcguigan+B40.58@emergepartners.com,80882,8/21/1985,1,0,0,0,,0
j,mcguigan+B40.01,jmcguigan+B40.01@emergepartners.com,85122,10/21/1982,1,1,0,1,,0
j,mcguigan+B40.26,jmcguigan+B40.26@emergepartners.com,74019,5/12/1978,1,1,0,0,,0
j,mcguigan+B40.61,jmcguigan+B40.61@emergepartners.com,27711,1/14/1987,1,1,1,1,,1
j,mcguigan+B40.35,jmcguigan+B40.35@emergepartners.com,53308,3/12/1972,0,1,1,1,,1
j,mcguigan+B40.55,jmcguigan+B40.55@emergepartners.com,63837,7/24/1979,1,1,1,1,,0
